longitude,latitude,Event_ID,irwinID,Incid_Name,Incid_Type,Map_ID,Map_Prog,Asmnt_Type,BurnBndAc,BurnBndLat,BurnBndLon,Ig_Date,Pre_ID,Post_ID,Perim_ID,dNBR_offst,dNBR_stdDv,NoData_T,IncGreen_T,Low_T,Mod_T,High_T,Comment,Year
-118.6514853897322,36.32962963657732,CA3633311865120220803,F3705FA2-72E3-4E2A-BBE0-EA04D37FAE54,SUMMIT,Wildfire,10024579,MTBS,Initial,2266,36.33,-118.652,2022-08-03,B11SLA20211015_30m,B11SLA20221030_30m,,-12,28,-970,-150,40,9999,9999,Burn scar is extremely faded and perimter was very tough to delineate from other fires.  Did the best we could.,2022
-119.48522384107244,37.6645122337819,CA3766111947120220804,1E643C3B-3BE4-4669-892B-CF82B46FA820,RED,Wildfire,10025372,MTBS,Extended,8495,37.666,-119.49,2022-08-04,804303420220707,804303420230726,,-30,19,-970,-150,45,185,450,,2022
-119.8658788227198,37.54263939223152,CA3754911992120220722,09A76C17-511F-40B6-A006-8531DF0C33AC,OAK,Wildfire,10025480,MTBS,Extended,19408,37.542,-119.866,2022-07-22,904203420220708,904203420230727,,-13,29,-970,-150,35,210,425,Used Modified NIFC Perimeter. Severity and perimeter decisions made using high-res post-fire imagery.,2022
-120.65176060571542,38.33813813194027,CA3831412072120220704,984CC819-3E50-4361-9028-C04AC66C5230,ELECTRA,Wildfire,10025484,MTBS,Initial,4645,38.344,-120.655,2022-07-04,804303320220621,804303320220723,,16,22,-970,-150,60,276,525,Refrenced WFIGS Interagency Fire Perimeter for perimeter.,2022
-119.58542486811612,37.52372140499728,CA3750011961420220707,F8770EE9-DD20-421D-B4BB-637EA51F028A,WASHBURN,Wildfire,10025513,MTBS,Extended,4980,37.521,-119.581,2022-07-07,A11SKB20210824_30m,A11SKB20230804_30m,,-6,44,-970,-150,60,276,525,Burned areas in Northwest and Southern lower tip were 2023 burns.,2022
-118.3076139683506,37.27599053892198,CA3736911837220220216,7AFEDAC3-F210-4FFC-8F27-99560E4BADF6,AIRPORT,Wildfire,10025576,MTBS,Initial,4478,37.268,-118.299,2022-02-16,804203420220206,804203420220310,,12,8,-970,-150,65,365,9999,,2022
-119.52494862729644,37.958574135725534,CA3795411955220220808,99B90DBC-6F1A-4494-B5C6-9CFDF335492A,RODGERS,Wildfire,10026545,MTBS,Extended,3155,37.959,-119.522,2022-08-08,804203420210830,904203420230828,,31,35,-970,-150,25,260,520,,2022
-120.67501854460627,39.022071292241115,CA3900612074520220907,44773D0C-F5B6-4413-BAE1-4C929BF9E912,MOSQUITO,Wildfire,10028757,MTBS,Extended,77858,39.041,-120.691,2022-09-07,804303320220707,904303320230718,,2,24,-970,-150,40,285,545,Used modified NIFC/provisional perimeter. Severity verified using high-res post fire imagery.,2022
-113.85427213845283,34.87863810093665,AZ3487511385720220716,805E44F3-6172-4355-8EEB-28742962AA85,PINE PEAK,Wildfire,10029202,MTBS,Initial,1423,34.879,-113.852,2022-07-16,B12STD20200818_30m,A11SQU20220823_30m,,1,21,-970,-150,45,375,9999,,2022
-114.46731262115615,34.01673243164601,CA3399311448120220526,6982B546-8980-4FF2-B71B-A6D54A74689E,LOST LAKE,Wildfire,10029219,MTBS,Initial,5455,34.018,-114.472,2022-05-26,803903620220524,803903620220609,,-13,5,-970,-150,15,310,9999,"Some areas of the dNBR showed very bright pixels but looked like water in the post-fire image. I left these pixels out of the fire perimeter because it looked like vegetated areas pre-fire that were then covered by water post-fire.

Slight perimeter &",2022
-113.88080938930445,34.99724862190161,AZ3499811388520220323,,2 IVM HUALAPAI CHAPARRAL RX 22,Prescribed Fire,10029221,MTBS,Initial,1227,34.996,-113.877,2022-03-23,B11SQU20210412_30m,A11SQU20220415_30m,,12,14,-970,-150,40,350,9999,,2022
